,,,,,,,,,,,,,,,,,
Session (week),Month,Module,Concat Week Name,Topic,Concat Session Name,Sub-Module,Learning Goals,Prepared by,Session Type,Format,Preparation Status,Duration,Instructor Name,"Deck Link
(Master Folder)",Pre/Post Test Link(Master Folder),Progress Notes,Deck Feedback
Week 8,2nd,AI Automation,Week 8 - AI Automation,Automating Capstone Insights,Week 8 - Automating Capstone Insights,"        1.        Build the approved workflow from Week 7 in n8n (trigger → data → AI step → output).
        2.        Execute end-to-end runs using capstone sample data.
        3.        Test at least 3 scenarios (normal, edge, failure) and capture workflow behavior/results.
        4.        Refine prompt/output formatting, mapping, and branch conditions to improve reliability.
        5.        Document implementation evidence:
        •        workflow screenshot/diagram
        •        test log
        •        key result summary
        •        known limitations and next improvements","	•	Implement a functioning AI-enhanced automation flow that runs end-to-end.
	•	Validate workflow reliability through structured scenario testing.
	•	Improve automation quality through iterative refinement of prompts, mapping, and logic.
	•	Produce clear technical and business evidence that the workflow is ready for Week 9 extension.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,
Week 9:  Agentic AI,,,,,,,,,,,,,,,,,
Week 9,2nd,Agentic AI,Week 9 - Agentic AI,Agentic AI – From Automation to AI Agents,Week 9 - Agentic AI – From Automation to AI Agents,"  • Understanding what makes an AI agent autonomous and capable of performing tasks without continuous human input  
  • Exploring use cases for AI agents: customer service, knowledge retrieval, task automation  
  • Hands-On: Design and configure a simple AI agent in n8n, like a lead qualification agent or internal knowledge assistant  ","• Define what makes an AI agent autonomous and distinguish agents from traditional automation and chatbots.
• Identify real-world use cases for AI agents across industries (e.g., customer service, knowledge retrieval, task automation).
• Understand key agent concepts: autonomy, goal-directed behavior, decision-making, and tool use.
• Design and configure a simple AI agent in n8n (e.g., lead qualification agent, internal knowledge assistant) through a hands-on exercise.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Satriadi Putra Santika,https://docs.google.com/presentation/d/1PuygRKjFXW5VKJYaNL9nbHB2Zirk0s14uPBi73dnpCQ/edit?usp=drive_link,https://docs.google.com/document/d/1tIEVz60YMPOInLXut4n8CrshwZCvT6QZl_f0DLKMSZU/edit?usp=drive_link,"6 FEBRUARI
Progress: Done

Problem: - 

Plan: - ","Completeness Check
- Deck 
- Pre/Post Tests ✔️
- Profile ✔️

Feedback
-  Learning outcomes: kurang cocok untuk pakai ""explain"" sebagai learning outcome"
Week 9,2nd,Agentic AI,Week 9 - Agentic AI,Multi Agent Systems,Week 9 - Multi Agent Systems,"Building AI Agents with Multi-Agent Systems  
  • Introduction to multi-agent systems: Breaking tasks into specialized agents (e.g., one agent for lead qualification, another for report generation)  
  • How to link multiple agents in n8n to handle different parts of a business process  
  • Hands-On: Build and connect multiple agents in n8n to automate workflows  

Testing & Debugging AI Agents  
  • Methods for testing agent performance: What to monitor, how to ensure smooth execution, and identifying areas for improvement  
  • Hands-On: Test your AI agents, debug issues, and improve their response quality  ""","• Define agentic AI and how it extends automation.
• Explore real-world use cases for AI agents.
• Understand beginner-friendly tools for building agents.
• Recognize risks and controls for agentic workflows.",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Husein Indra Kusuma,https://docs.google.com/presentation/d/1861_omBbQw3dA0QZN5Ut82r6J-_PpoWMnt-XPNnOHxU/edit?usp=drive_link,https://docs.google.com/document/d/1tvcKa6LgQGv5p5Arv2aaUtFc1Fr8sJ7uWRtumHeCYj0/edit?usp=drive_link,,
Week 9,2nd,Agentic AI,Week 9 - Agentic AI,Simulation: Agentic AI ,Week 9 - Simulation: Agentic AI ,"        1.        Extend capstone project: add an AI pipeline or simple agent, Design intelligent extension to Week 8 workflow
        2.        Build workflow for dataset Q&A or reporting bot
        3.        Optional: experiment with agent that decides next action (classification → insight → report)
        4.        Peer feedback on usability and business value"," Simulation:
        •        Apply agent frameworks to enrich the capstone solution.
        •        Build intelligent workflows that go beyond static automation.
        •        Document Capstone Step 7: Intelligent Workflow/Agent Prototype.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,
Week 10-11: Capstone Project,,,,,,,,,,,,,,,,,
Week 10,3rd,Agentic AI,Week 10 - Agentic AI,Kick-Off Capstone Project Week: AI-First Mindset in Developing Solution,Week 10 - Kick-Off Capstone Project Week: AI-First Mindset in Developing Solution,"1. Fundamentals of AI Driven Solutions
2. From Workflow to Product – UX Foundations
- Explain why UX is critical for adoption of AI-driven analytics & automation.
- Identify the primary user persona (role, goals, pains) for the capstone solution.
- Map how the existing assistant + workflows fit into a simple end-to-end user journey (what the user sees first, does next, and gets as outcome).
3. UI Patterns for Data & AI
- Recognise common UI patterns for AI solutions (dashboard + AI panel, triage inbox, approval screen, chat + context).
- Match at least one pattern to their own capstone use case (e.g., complaint triage, lead qualification, performance monitoring).
- Describe how AI insights and automation results will be surfaced in the interface (where summaries, alerts, and actions appear).
5. Capstone project sharing
 • Upgrade automation to include a simple agent behavior (decision rule, routing, or multi-step reasoning in n8n)
 • Test end-to-end with realistic scenario","• Identify a clear primary user persona and describe their AI-assisted journey in simple steps.  
• Select an appropriate UI pattern for their capstone (e.g., triage inbox, dashboard + AI panel) and place AI outputs/actions in sensible locations. 
• Produce a concise UX mini pack (persona, user flow, 2–3 wireframes) that can be reused directly in the final pitch. 
• Integrate basic responsible-AI considerations (privacy, human review, error states) into their UX and translate this into a concrete build plan for the remaining weeks.
",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Husein Indra Kusuma,https://docs.google.com/presentation/d/14vVE0BZicSaMHO34_Y1smoIrwn6cGAyq_HdSp7vqjIQ/edit?slide=id.g3bef6496cd5_0_553#slide=id.g3bef6496cd5_0_553,,,
Week 10,3rd,Capstone Project,Week 10 - Capstone Project,Team Work,Week 10 - Team Work,,,RevoU,Capstone Project,Online,Not Started,Asynchronous,,,,,
Week 10,3rd,Capstone Project,Week 10 - Capstone Project,Pitching & Presentation Skills,Week 10 - Pitching & Presentation Skills,"1. Structuring a Capstone Presentation
 - Problem → Data → Insight → Recommendation framework
 - How to open with impact and close with a clear call to action
 2. Slide Design Best Practices
 - Headline-driven slides, visual hierarchy, and data-focused layouts
 - Balancing text, visuals, and white space for clarity
 3. Delivering a Confident Pitch
 - Audience awareness: tailoring the message for panels and stakeholders
 - Handling Q&A: defending analysis, responding to feedback, and thinking on your feet
 4. Pitching Dry Run
 - Mini practice round with peer feedback on structure, clarity, and delivery","• Structure a clear and compelling capstone presentation, from problem framing to insights and recommendations.
• Apply best practices in slide design and storytelling to highlight key insights and business impact.
• Deliver a confident, audience-focused pitch, clearly communicating value, logic, and next steps.Apply all learned skills (EDA, visualization, AI automation, agents).",Binus,Lecture,Online,On Progress,1 session (@60 mins),Franz Adeta,https://docs.google.com/presentation/d/1OJ1-chUbLvl-PiaaIAtpdt_eqrYBGvHDxESvhiMCxDI/edit?usp=drive_link,N/A,"6 FEBRUARI
Progress:

Problem:

Plan:","Completeness Check
- Deck ❌
- Activities, belum lengkap promptnya untuk program data & AI ini

Feedback
- Slide intro: Belum include professional contact, bisa diremove irrelevant experience (too personal), tambahin judul riset lain yang berkaitan.Cek tab Instructor & Mentor List - profil singkat
- Overall, konten ini masih terlalu general dan belum sesuai learning outcome, terutama ""• Deliver a confident, audience-focused pitch, clearly communicating value, logic, and next steps.Apply all learned skills (EDA, visualization, AI automation, agents)."""
Week 10,3rd,Capstone Project,Week 10 - Capstone Project,"Team Work (Mentorship 1)
","Week 10 - Team Work (Mentorship 1)
","Capstone Project Milestones v2 (group module - biweekly)
• Work time with mentors: integrate data + assistant + automation + agent into one coherent flow
• Debug, fix, and document architecture","• Apply all learned skills (EDA, visualization, AI automation, agents).
• Collaborate in teams to design and build a scalable AI-driven solution.
• Receive mentorship feedback to refine technical and business aspects.",RevoU,Capstone Project,Online,Not Started,1 session per group (@60-90 minutes),,,,,
Week 11,3rd,Capstone Project,Week 11 - Capstone Project,Team Work,Week 11 - Team Work,,,RevoU,Capstone Project,Online,Not Started,Asynchronous,,,,,
Week 11,3rd,Capstone Project,Week 11 - Capstone Project,Team Work (Mentorship 2 - Pitching Simulation),Week 11 - Team Work (Mentorship 2 - Pitching Simulation),"1 hour per group 
Based on availability time of group & mentor 
Each mentor dedicated for the team • based on topic that they have

• Refine UX, error handling, and stability
• Build & refine pitch deck
• Run mock pitch with timed demo + get feedback","• Deliver a timed mock pitch that integrates problem framing, data insights, AI-powered solution, and business recommendations into a cohesive presentation.
 • Receive and apply structured mentor feedback on content clarity, slide design, demo flow, and presentation delivery.
 • Refine UX design, error handling, and system stability of the capstone solution based on simulation outcomes.
 • Build and polish the final pitch deck, ensuring a compelling narrative from problem to solution to impact.",Binus,Capstone Project,Online,On Progress,1 session  (@30-60 minutes),Franz Adeta,,,"6 FEBRUARI
Progress:

Problem:

Plan:","Completeness Check
- Deck
- Pre/Post Tests

Feedback
- x"
Week 11,3rd,Capstone Project,Week 11 - Capstone Project,"Team Work (Mentorship 2)
","Week 11 - Team Work (Mentorship 2)
","Capstone Project Milestones v2 (group module - biweekly)
• Work time with mentors: integrate data + assistant + automation + agent into one coherent flow
• Debug, fix, and document architecture","• Apply all learned skills (EDA, visualization, AI automation, agents).
• Collaborate in teams to design and build a scalable AI-driven solution.
• Receive mentorship feedback to refine technical and business aspects.",RevoU,Capstone Project,Online,Not Started,1 session per group (@60-90 minutes),,,,,
Week 12: Pitching & Graduation,,,,,,,,,,,,,,,,,
Week 12,3rd,Pitching Week & Reflections,Week 12 - Pitching Week & Reflections,Pitching,Week 12 - Pitching,Split into 2 groups/batch of pitching ,"• Present capstone outcomes clearly and concisely to external panelists, highlighting problem, insights, and recommendations.
• Defend analysis and decisions through structured responses to panel questions and feedback.
• Reflect on panel feedback to identify improvements for both the solution and presentation approach.",Binus +  RevoU,Capstone Project,Online,Not Started,TBD,,,,,
Week 12,3rd,Graduation Session,Week 12 - Graduation Session,"Ceremonial
Future of AI in Analytics & Ethics","Week 12 - Ceremonial
Future of AI in Analytics & Ethics","1. Trends & The Future of AI in Analytics
2. Ethical Considerations in AI for Analytics
3. Responsible AI in Practice:  Identifying and mitigating risks: bias, hallucination, and misinformation, data privacy and compliance","• Describe emerging trends in analytics (agentic AI, AutoML, autonomous workflows).
 -Identify ethical challenges: privacy, bias, accountability, and transparency.
• Apply a Responsible AI checklist to capstone projects.",Binus +  RevoU,Lecture,Hybrid,Not Started,1 sessions (@270 mins),,,,,
,,,,,Group Assignment Submission Time,,,RevoU,Capstone Submission,Online,,,,,,,
,,,,,TL Grading Time,,,RevoU,Capstone Grading,Online,,,,,,,
,,,,,Individual Assignment Submission Time,,,RevoU,Reflection Checkpoint Submission,Online,,,,,,,
